"tf","focus_tf","regulon_size","statistic","score","size_expected","null_mean","null_sd","null_q95","obs","pct_of_null","p_empirical","z_vs_null"
"JARID2",FALSE,10,"CollecTRI-ULM activity score",0.123271976,0.74342295,NA,NA,NA,NA,NA,NA,NA
"HIVEP1",FALSE,5,"CollecTRI-ULM activity score",0.118885429,0.294075668,NA,NA,NA,NA,NA,NA,NA
"ATF5",FALSE,20,"CollecTRI-ULM activity score",0.117523463,1.23126769,NA,NA,NA,NA,NA,NA,NA
"LRRFIP1",FALSE,8,"CollecTRI-ULM activity score",0.111853748,0.595113485,NA,NA,NA,NA,NA,NA,NA
"RARB",FALSE,23,"CollecTRI-ULM activity score",0.111527972,1.34548248,NA,NA,NA,NA,NA,NA,NA
"NEUROG2",FALSE,10,"CollecTRI-ULM activity score",0.075836677,0.74342295,NA,NA,NA,NA,NA,NA,NA
"CDX1",FALSE,15,"CollecTRI-ULM activity score",0.05185786,1.00731582,NA,NA,NA,NA,NA,NA,NA
"TRERF1",FALSE,13,"CollecTRI-ULM activity score",0.0509957353,0.915255263,NA,NA,NA,NA,NA,NA,NA
"HOXB13",FALSE,7,"CollecTRI-ULM activity score",0.043356546,0.507633698,NA,NA,NA,NA,NA,NA,NA
"HIVEP3",FALSE,5,"CollecTRI-ULM activity score",0.0228630942,0.294075668,NA,NA,NA,NA,NA,NA,NA
"HCFC1",FALSE,7,"CollecTRI-ULM activity score",0.0213004754,0.507633698,NA,NA,NA,NA,NA,NA,NA
"GATA1",FALSE,81,"CollecTRI-ULM activity score",0.0129394009,2.81332409,NA,NA,NA,NA,NA,NA,NA
"HDAC7",FALSE,9,"CollecTRI-ULM activity score",-0.00181177472,0.673156788,NA,NA,NA,NA,NA,NA,NA
"MEIS2",FALSE,5,"CollecTRI-ULM activity score",-0.00426050345,0.294075668,NA,NA,NA,NA,NA,NA,NA
"BTG2",FALSE,6,"CollecTRI-ULM activity score",-0.0362716596,0.407887966,NA,NA,NA,NA,NA,NA,NA
"TFAP4",FALSE,27,"CollecTRI-ULM activity score",-0.061948933,1.47864601,NA,NA,NA,NA,NA,NA,NA
"ARID4A",FALSE,6,"CollecTRI-ULM activity score",-0.0730014499,0.407887966,NA,NA,NA,NA,NA,NA,NA
"MNT",FALSE,7,"CollecTRI-ULM activity score",-0.0737401701,0.507633698,NA,NA,NA,NA,NA,NA,NA
"ETV3",FALSE,10,"CollecTRI-ULM activity score",-0.0800769854,0.74342295,NA,NA,NA,NA,NA,NA,NA
"GLI1",FALSE,96,"CollecTRI-ULM activity score",-0.0825168786,3.0655099,NA,NA,NA,NA,NA,NA,NA
"CTBP2",FALSE,9,"CollecTRI-ULM activity score",-0.105201103,0.673156788,NA,NA,NA,NA,NA,NA,NA
"DNMT3B",FALSE,45,"CollecTRI-ULM activity score",-0.108431269,2.03163353,NA,NA,NA,NA,NA,NA,NA
"KDM5D",FALSE,6,"CollecTRI-ULM activity score",-0.118608883,0.407887966,NA,NA,NA,NA,NA,NA,NA
"MTA3",FALSE,8,"CollecTRI-ULM activity score",-0.120472445,0.595113485,NA,NA,NA,NA,NA,NA,NA
"TFDP3",FALSE,5,"CollecTRI-ULM activity score",-0.120731283,0.294075668,NA,NA,NA,NA,NA,NA,NA
"EWSR1",FALSE,38,"CollecTRI-ULM activity score",-0.120913544,1.846813,NA,NA,NA,NA,NA,NA,NA
"HEY1",FALSE,15,"CollecTRI-ULM activity score",-0.122113198,1.00731582,NA,NA,NA,NA,NA,NA,NA
"LMO2",FALSE,19,"CollecTRI-ULM activity score",-0.125838484,1.18983492,NA,NA,NA,NA,NA,NA,NA
"MXD1",FALSE,19,"CollecTRI-ULM activity score",-0.127467931,1.18983492,NA,NA,NA,NA,NA,NA,NA
"MTF2",FALSE,5,"CollecTRI-ULM activity score",-0.136558392,0.294075668,NA,NA,NA,NA,NA,NA,NA
"POU2F3",FALSE,5,"CollecTRI-ULM activity score",-0.142271937,0.294075668,NA,NA,NA,NA,NA,NA,NA
"MXI1",FALSE,7,"CollecTRI-ULM activity score",-0.167674097,0.507633698,NA,NA,NA,NA,NA,NA,NA
"NR0B2",FALSE,69,"CollecTRI-ULM activity score",-0.18240472,2.60127703,NA,NA,NA,NA,NA,NA,NA
"TCF7L2",FALSE,64,"CollecTRI-ULM activity score",-0.187260338,2.5024472,NA,NA,NA,NA,NA,NA,NA
"ELF3",FALSE,14,"CollecTRI-ULM activity score",-0.190060007,0.961554623,NA,NA,NA,NA,NA,NA,NA
"NONO",FALSE,10,"CollecTRI-ULM activity score",-0.197799493,0.74342295,NA,NA,NA,NA,NA,NA,NA
"ZNF236",FALSE,6,"CollecTRI-ULM activity score",-0.200443377,0.407887966,NA,NA,NA,NA,NA,NA,NA
"ZBTB17",FALSE,34,"CollecTRI-ULM activity score",-0.206622739,1.72027635,NA,NA,NA,NA,NA,NA,NA
"ERG",FALSE,26,"CollecTRI-ULM activity score",-0.219074336,1.4462279,NA,NA,NA,NA,NA,NA,NA
"ZBTB14",FALSE,6,"CollecTRI-ULM activity score",-0.228826902,0.407887966,NA,NA,NA,NA,NA,NA,NA
"NR2C1",FALSE,10,"CollecTRI-ULM activity score",-0.247032757,0.74342295,NA,NA,NA,NA,NA,NA,NA
"MZF1",FALSE,12,"CollecTRI-ULM activity score",-0.258743648,0.865637847,NA,NA,NA,NA,NA,NA,NA
"ZNF335",FALSE,5,"CollecTRI-ULM activity score",-0.261636774,0.294075668,NA,NA,NA,NA,NA,NA,NA
"ZBTB33",FALSE,7,"CollecTRI-ULM activity score",-0.261910757,0.507633698,NA,NA,NA,NA,NA,NA,NA
"ELK3",FALSE,15,"CollecTRI-ULM activity score",-0.27301574,1.00731582,NA,NA,NA,NA,NA,NA,NA
"CREB3L1",FALSE,5,"CollecTRI-ULM activity score",-0.278190613,0.294075668,NA,NA,NA,NA,NA,NA,NA
"KMT2B",FALSE,11,"CollecTRI-ULM activity score",-0.283695034,0.808427386,NA,NA,NA,NA,NA,NA,NA
"UBTF",FALSE,8,"CollecTRI-ULM activity score",-0.288180718,0.595113485,NA,NA,NA,NA,NA,NA,NA
"HEY2",FALSE,7,"CollecTRI-ULM activity score",-0.293524637,0.507633698,NA,NA,NA,NA,NA,NA,NA
"REST",FALSE,27,"CollecTRI-ULM activity score",-0.317121933,1.47864601,NA,NA,NA,NA,NA,NA,NA
"FOXA1",FALSE,28,"CollecTRI-ULM activity score",-0.346352313,1.51239733,NA,NA,NA,NA,NA,NA,NA
"TEF",FALSE,8,"CollecTRI-ULM activity score",-0.363784926,0.595113485,NA,NA,NA,NA,NA,NA,NA
"FOXO1",FALSE,157,"CollecTRI-ULM activity score",-0.367077788,3.92575042,NA,NA,NA,NA,NA,NA,NA
"FOXE1",FALSE,7,"CollecTRI-ULM activity score",-0.368921696,0.507633698,NA,NA,NA,NA,NA,NA,NA
"ZFP42",FALSE,7,"CollecTRI-ULM activity score",-0.379441429,0.507633698,NA,NA,NA,NA,NA,NA,NA
"LMX1B",FALSE,10,"CollecTRI-ULM activity score",-0.382949867,0.74342295,NA,NA,NA,NA,NA,NA,NA
"SMARCA5",FALSE,6,"CollecTRI-ULM activity score",-0.390764737,0.407887966,NA,NA,NA,NA,NA,NA,NA
"GATA5",FALSE,11,"CollecTRI-ULM activity score",-0.394536456,0.808427386,NA,NA,NA,NA,NA,NA,NA
"KMT2A",FALSE,50,"CollecTRI-ULM activity score",-0.410682685,2.16373667,NA,NA,NA,NA,NA,NA,NA
"FOXH1",FALSE,8,"CollecTRI-ULM activity score",-0.41131738,0.595113485,NA,NA,NA,NA,NA,NA,NA
"KLF3",FALSE,7,"CollecTRI-ULM activity score",-0.459262446,0.507633698,NA,NA,NA,NA,NA,NA,NA
"ZFPM1",FALSE,11,"CollecTRI-ULM activity score",-0.527750634,0.808427386,NA,NA,NA,NA,NA,NA,NA
"SIN3A",FALSE,8,"CollecTRI-ULM activity score",-0.53081676,0.595113485,NA,NA,NA,NA,NA,NA,NA
"DOT1L",FALSE,6,"CollecTRI-ULM activity score",-0.535940611,0.407887966,NA,NA,NA,NA,NA,NA,NA
"ARID5B",FALSE,7,"CollecTRI-ULM activity score",-0.543488619,0.507633698,NA,NA,NA,NA,NA,NA,NA
"HTATIP2",FALSE,10,"CollecTRI-ULM activity score",-0.548559797,0.74342295,NA,NA,NA,NA,NA,NA,NA
"HOXB1",FALSE,5,"CollecTRI-ULM activity score",-0.554752429,0.294075668,NA,NA,NA,NA,NA,NA,NA
"NFE2L1",FALSE,7,"CollecTRI-ULM activity score",-0.604593574,0.507633698,NA,NA,NA,NA,NA,NA,NA
"CRX",FALSE,11,"CollecTRI-ULM activity score",-0.614525041,0.808427386,NA,NA,NA,NA,NA,NA,NA
"TWIST1",FALSE,42,"CollecTRI-ULM activity score",-0.626064277,1.95529145,NA,NA,NA,NA,NA,NA,NA
"SIM2",FALSE,7,"CollecTRI-ULM activity score",-0.631967772,0.507633698,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A",FALSE,29,"CollecTRI-ULM activity score",-0.636964376,1.54698167,NA,NA,NA,NA,NA,NA,NA
"NPM1",FALSE,11,"CollecTRI-ULM activity score",-0.641071844,0.808427386,NA,NA,NA,NA,NA,NA,NA
"GRHL3",FALSE,15,"CollecTRI-ULM activity score",-0.647142676,1.00731582,NA,NA,NA,NA,NA,NA,NA
"PURA",FALSE,14,"CollecTRI-ULM activity score",-0.652147171,0.961554623,NA,NA,NA,NA,NA,NA,NA
"PATZ1",FALSE,9,"CollecTRI-ULM activity score",-0.671924884,0.673156788,NA,NA,NA,NA,NA,NA,NA
"ZNF382",FALSE,7,"CollecTRI-ULM activity score",-0.692191395,0.507633698,NA,NA,NA,NA,NA,NA,NA
"GRHL2",FALSE,5,"CollecTRI-ULM activity score",-0.719705996,0.294075668,NA,NA,NA,NA,NA,NA,NA
"BHLHE40",FALSE,26,"CollecTRI-ULM activity score",-0.739425975,1.4462279,NA,NA,NA,NA,NA,NA,NA
"FEV",FALSE,5,"CollecTRI-ULM activity score",-0.764095109,0.294075668,NA,NA,NA,NA,NA,NA,NA
"MYBL1",FALSE,8,"CollecTRI-ULM activity score",-0.780784234,0.595113485,NA,NA,NA,NA,NA,NA,NA
"DBP",FALSE,15,"CollecTRI-ULM activity score",-0.785077795,1.00731582,NA,NA,NA,NA,NA,NA,NA
"FOXL2",FALSE,11,"CollecTRI-ULM activity score",-0.831796037,0.808427386,NA,NA,NA,NA,NA,NA,NA
"KLF8",FALSE,16,"CollecTRI-ULM activity score",-0.834241921,1.05434751,NA,NA,NA,NA,NA,NA,NA
"TRIM28",FALSE,5,"CollecTRI-ULM activity score",-0.858382493,0.294075668,NA,NA,NA,NA,NA,NA,NA
"ZNF202",FALSE,6,"CollecTRI-ULM activity score",-0.85860606,0.407887966,NA,NA,NA,NA,NA,NA,NA
"YBX3",FALSE,19,"CollecTRI-ULM activity score",-0.859246002,1.18983492,NA,NA,NA,NA,NA,NA,NA
"FGF2",FALSE,5,"CollecTRI-ULM activity score",-0.866963189,0.294075668,NA,NA,NA,NA,NA,NA,NA
"CREBZF",FALSE,12,"CollecTRI-ULM activity score",-0.869531272,0.865637847,NA,NA,NA,NA,NA,NA,NA
"NANOG",FALSE,32,"CollecTRI-ULM activity score",-0.881113198,1.65196558,NA,NA,NA,NA,NA,NA,NA
"POU3F2",FALSE,12,"CollecTRI-ULM activity score",-0.884092659,0.865637847,NA,NA,NA,NA,NA,NA,NA
"KAT6A",FALSE,8,"CollecTRI-ULM activity score",-0.896454467,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ATOH1",FALSE,5,"CollecTRI-ULM activity score",-0.905239584,0.294075668,NA,NA,NA,NA,NA,NA,NA
"TCF4",FALSE,31,"CollecTRI-ULM activity score",-0.907854101,1.61707505,NA,NA,NA,NA,NA,NA,NA
"ZNF300",FALSE,6,"CollecTRI-ULM activity score",-0.947466403,0.407887966,NA,NA,NA,NA,NA,NA,NA
"MECP2",FALSE,18,"CollecTRI-ULM activity score",-0.963406643,1.1465867,NA,NA,NA,NA,NA,NA,NA
"PROX1",FALSE,18,"CollecTRI-ULM activity score",-0.963839728,1.1465867,NA,NA,NA,NA,NA,NA,NA
"SOX17",FALSE,23,"CollecTRI-ULM activity score",-0.972361988,1.34548248,NA,NA,NA,NA,NA,NA,NA
"BHLHE41",FALSE,19,"CollecTRI-ULM activity score",-1.01111385,1.18983492,NA,NA,NA,NA,NA,NA,NA
"FOXF2",FALSE,8,"CollecTRI-ULM activity score",-1.01275807,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ZBED1",FALSE,17,"CollecTRI-ULM activity score",-1.01729857,1.1014466,NA,NA,NA,NA,NA,NA,NA
"TFDP2",FALSE,5,"CollecTRI-ULM activity score",-1.03407208,0.294075668,NA,NA,NA,NA,NA,NA,NA
"NR2E3",FALSE,5,"CollecTRI-ULM activity score",-1.09110763,0.294075668,NA,NA,NA,NA,NA,NA,NA
"HOXA5",FALSE,5,"CollecTRI-ULM activity score",-1.17112888,0.294075668,NA,NA,NA,NA,NA,NA,NA
"VHL",FALSE,19,"CollecTRI-ULM activity score",-1.21889497,1.18983492,NA,NA,NA,NA,NA,NA,NA
"SMAD6",FALSE,12,"CollecTRI-ULM activity score",-1.22045017,0.865637847,NA,NA,NA,NA,NA,NA,NA
"SALL3",FALSE,5,"CollecTRI-ULM activity score",-1.23576242,0.294075668,NA,NA,NA,NA,NA,NA,NA
"BCL6",FALSE,70,"CollecTRI-ULM activity score",-1.25728508,2.61942361,NA,NA,NA,NA,NA,NA,NA
"BACH2",FALSE,6,"CollecTRI-ULM activity score",-1.26606652,0.407887966,NA,NA,NA,NA,NA,NA,NA
"FOXP1",FALSE,11,"CollecTRI-ULM activity score",-1.28733802,0.808427386,NA,NA,NA,NA,NA,NA,NA
"RREB1",FALSE,5,"CollecTRI-ULM activity score",-1.32770479,0.294075668,NA,NA,NA,NA,NA,NA,NA
"SNAI2",FALSE,30,"CollecTRI-ULM activity score",-1.33158615,1.58198729,NA,NA,NA,NA,NA,NA,NA
"BCLAF1",FALSE,6,"CollecTRI-ULM activity score",-1.33537535,0.407887966,NA,NA,NA,NA,NA,NA,NA
"LYL1",FALSE,9,"CollecTRI-ULM activity score",-1.40159698,0.673156788,NA,NA,NA,NA,NA,NA,NA
"PIN1",FALSE,5,"CollecTRI-ULM activity score",-1.40767703,0.294075668,NA,NA,NA,NA,NA,NA,NA
"NFE2L3",FALSE,6,"CollecTRI-ULM activity score",-1.41557296,0.407887966,NA,NA,NA,NA,NA,NA,NA
"WWTR1",FALSE,6,"CollecTRI-ULM activity score",-1.44951633,0.407887966,NA,NA,NA,NA,NA,NA,NA
"CTBP1",FALSE,8,"CollecTRI-ULM activity score",-1.47265908,0.595113485,NA,NA,NA,NA,NA,NA,NA
"GFI1",FALSE,40,"CollecTRI-ULM activity score",-1.48884158,1.90352096,NA,NA,NA,NA,NA,NA,NA
"FOXG1",FALSE,8,"CollecTRI-ULM activity score",-1.49896737,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ESRRA",FALSE,23,"CollecTRI-ULM activity score",-1.5210314,1.34548248,NA,NA,NA,NA,NA,NA,NA
"DLX2",FALSE,12,"CollecTRI-ULM activity score",-1.56358486,0.865637847,NA,NA,NA,NA,NA,NA,NA
"DLX5",FALSE,8,"CollecTRI-ULM activity score",-1.62559721,0.595113485,NA,NA,NA,NA,NA,NA,NA
"POU5F1",FALSE,43,"CollecTRI-ULM activity score",-1.63405692,1.98022969,NA,NA,NA,NA,NA,NA,NA
"NR0B1",FALSE,24,"CollecTRI-ULM activity score",-1.6368229,1.38046,NA,NA,NA,NA,NA,NA,NA
"TBX3",FALSE,10,"CollecTRI-ULM activity score",-1.63804952,0.74342295,NA,NA,NA,NA,NA,NA,NA
"HDAC4",FALSE,16,"CollecTRI-ULM activity score",-1.65236801,1.05434751,NA,NA,NA,NA,NA,NA,NA
"TFCP2",FALSE,44,"CollecTRI-ULM activity score",-1.6573253,2.0057221,NA,NA,NA,NA,NA,NA,NA
"FOXI1",FALSE,6,"CollecTRI-ULM activity score",-1.68154401,0.407887966,NA,NA,NA,NA,NA,NA,NA
"ZNF76",FALSE,6,"CollecTRI-ULM activity score",-1.6990741,0.407887966,NA,NA,NA,NA,NA,NA,NA
"SMAD7",FALSE,40,"CollecTRI-ULM activity score",-1.79388605,1.90352096,NA,NA,NA,NA,NA,NA,NA
"E2F7",FALSE,6,"CollecTRI-ULM activity score",-1.81992723,0.407887966,NA,NA,NA,NA,NA,NA,NA
"HIC1",FALSE,15,"CollecTRI-ULM activity score",-1.85181586,1.00731582,NA,NA,NA,NA,NA,NA,NA
"TFAP2C",FALSE,16,"CollecTRI-ULM activity score",-1.86726757,1.05434751,NA,NA,NA,NA,NA,NA,NA
"NR1D1",FALSE,9,"CollecTRI-ULM activity score",-2.2091918,0.673156788,NA,NA,NA,NA,NA,NA,NA
"CTCFL",FALSE,6,"CollecTRI-ULM activity score",-2.28473706,0.407887966,NA,NA,NA,NA,NA,NA,NA
"ZBTB16",FALSE,32,"CollecTRI-ULM activity score",-2.36647163,1.65196558,NA,NA,NA,NA,NA,NA,NA
"NR1I3",FALSE,24,"CollecTRI-ULM activity score",-2.38526544,1.38046,NA,NA,NA,NA,NA,NA,NA
"TBX2",FALSE,14,"CollecTRI-ULM activity score",-2.389117,0.961554623,NA,NA,NA,NA,NA,NA,NA
"KLF17",FALSE,5,"CollecTRI-ULM activity score",-2.39149831,0.294075668,NA,NA,NA,NA,NA,NA,NA
"TCF21",FALSE,7,"CollecTRI-ULM activity score",-2.39422196,0.507633698,NA,NA,NA,NA,NA,NA,NA
"ID4",FALSE,5,"CollecTRI-ULM activity score",-2.51232972,0.294075668,NA,NA,NA,NA,NA,NA,NA
"MYF6",FALSE,7,"CollecTRI-ULM activity score",-2.54553725,0.507633698,NA,NA,NA,NA,NA,NA,NA
"NAB2",FALSE,6,"CollecTRI-ULM activity score",-2.64618005,0.407887966,NA,NA,NA,NA,NA,NA,NA
"TGIF1",FALSE,8,"CollecTRI-ULM activity score",-2.73136365,0.595113485,NA,NA,NA,NA,NA,NA,NA
"NFIX",FALSE,8,"CollecTRI-ULM activity score",-2.75122784,0.595113485,NA,NA,NA,NA,NA,NA,NA
"TBX1",FALSE,5,"CollecTRI-ULM activity score",-2.87384758,0.294075668,NA,NA,NA,NA,NA,NA,NA
"GFI1B",FALSE,9,"CollecTRI-ULM activity score",-3.12382329,0.673156788,NA,NA,NA,NA,NA,NA,NA
"SKIL",FALSE,11,"CollecTRI-ULM activity score",-3.14342366,0.808427386,NA,NA,NA,NA,NA,NA,NA
"HDAC1",FALSE,54,"CollecTRI-ULM activity score",-3.80524698,2.26782428,NA,NA,NA,NA,NA,NA,NA
"NR2E1",FALSE,8,"CollecTRI-ULM activity score",-3.87101706,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ZBTB4",FALSE,10,"CollecTRI-ULM activity score",-3.9792852,0.74342295,NA,NA,NA,NA,NA,NA,NA
"ATF3",TRUE,72,"Unsigned-regulon fgsea NES",2.47295677,1.65688441,0.240167462,1.00988939,1.32438092,2.47295677,100,0.000999000999,2.21092461
"REL",TRUE,83,"Unsigned-regulon fgsea NES",2.36956187,1.70024463,0.488047433,0.966896383,1.42842232,2.36956187,100,0.000999000999,1.94593182
"NFKB1",TRUE,280,"Unsigned-regulon fgsea NES",2.348397,2.04643849,0.739813876,0.79844521,1.3195602,2.348397,100,0.000999000999,2.01464434
"HIF1A",TRUE,293,"Unsigned-regulon fgsea NES",2.32893136,2.05960087,0.701987298,0.818491518,1.32459014,2.32893136,100,0.000999000999,1.98773479
"STAT3",TRUE,285,"Unsigned-regulon fgsea NES",2.27936405,2.05156157,0.673882302,0.842768829,1.31898849,2.27936405,100,0.000999000999,1.90500846
"CREB1",TRUE,276,"Unsigned-regulon fgsea NES",2.23843944,2.04228306,0.624978908,0.851609574,1.27032442,2.23843944,100,0.000999000999,1.89460121
"RFXAP",FALSE,16,"Unsigned-regulon fgsea NES",2.23395447,1.09890036,NA,NA,NA,NA,NA,NA,NA
"HSF1",TRUE,67,"Unsigned-regulon fgsea NES",2.20889946,1.63440341,0.441237206,0.980236414,1.40150634,2.20889946,100,0.000999000999,1.80330197
"CIITA",FALSE,27,"Unsigned-regulon fgsea NES",2.19530092,1.32620811,NA,NA,NA,NA,NA,NA,NA
"TBX21",FALSE,43,"Unsigned-regulon fgsea NES",2.18739371,1.50635933,NA,NA,NA,NA,NA,NA,NA
"ID3",FALSE,19,"Unsigned-regulon fgsea NES",2.18294167,1.18186848,NA,NA,NA,NA,NA,NA,NA
"CEBPD",FALSE,47,"Unsigned-regulon fgsea NES",2.18090056,1.53397822,NA,NA,NA,NA,NA,NA,NA
"NFKB2",FALSE,57,"Unsigned-regulon fgsea NES",2.17886111,1.58710567,NA,NA,NA,NA,NA,NA,NA
"FOS",FALSE,195,"Unsigned-regulon fgsea NES",2.1662981,1.94384594,NA,NA,NA,NA,NA,NA,NA
"EGR1",FALSE,223,"Unsigned-regulon fgsea NES",2.15830123,1.98152226,NA,NA,NA,NA,NA,NA,NA
"RFXANK",FALSE,18,"Unsigned-regulon fgsea NES",2.15829367,1.15792932,NA,NA,NA,NA,NA,NA,NA
"IRF1",FALSE,123,"Unsigned-regulon fgsea NES",2.15810433,1.81469964,NA,NA,NA,NA,NA,NA,NA
"IRF5",FALSE,20,"Unsigned-regulon fgsea NES",2.15782521,1.20335353,NA,NA,NA,NA,NA,NA,NA
"NEUROD1",FALSE,22,"Unsigned-regulon fgsea NES",2.14936038,1.24152602,NA,NA,NA,NA,NA,NA,NA
"ETS1",FALSE,144,"Unsigned-regulon fgsea NES",2.13797583,1.85911702,NA,NA,NA,NA,NA,NA,NA
"KLF5",FALSE,54,"Unsigned-regulon fgsea NES",2.13693275,1.57247843,NA,NA,NA,NA,NA,NA,NA
"FOXP3",FALSE,38,"Unsigned-regulon fgsea NES",2.13314184,1.46149472,NA,NA,NA,NA,NA,NA,NA
"NFKBIB",FALSE,12,"Unsigned-regulon fgsea NES",2.12067202,0.942689893,NA,NA,NA,NA,NA,NA,NA
"JUNB",FALSE,60,"Unsigned-regulon fgsea NES",2.09618919,1.60131104,NA,NA,NA,NA,NA,NA,NA
"PPARG",FALSE,213,"Unsigned-regulon fgsea NES",2.08874629,1.96860493,NA,NA,NA,NA,NA,NA,NA
"STAT1",FALSE,226,"Unsigned-regulon fgsea NES",2.08480409,1.98529291,NA,NA,NA,NA,NA,NA,NA
"RFX5",FALSE,22,"Unsigned-regulon fgsea NES",2.08479765,1.24152602,NA,NA,NA,NA,NA,NA,NA
"STAT5B",FALSE,70,"Unsigned-regulon fgsea NES",2.08399771,1.64813055,NA,NA,NA,NA,NA,NA,NA
"CEBPG",FALSE,96,"Unsigned-regulon fgsea NES",2.08334414,1.7433856,NA,NA,NA,NA,NA,NA,NA
"BCL11B",FALSE,16,"Unsigned-regulon fgsea NES",2.07158901,1.09890036,NA,NA,NA,NA,NA,NA,NA
"PPARD",FALSE,61,"Unsigned-regulon fgsea NES",2.068814,1.60601054,NA,NA,NA,NA,NA,NA,NA
"NR1H3",FALSE,76,"Unsigned-regulon fgsea NES",2.06095666,1.67352958,NA,NA,NA,NA,NA,NA,NA
"ETV4",FALSE,38,"Unsigned-regulon fgsea NES",2.05878353,1.46149472,NA,NA,NA,NA,NA,NA,NA
"ZEB1",FALSE,36,"Unsigned-regulon fgsea NES",2.05236022,1.44101937,NA,NA,NA,NA,NA,NA,NA
"SREBF1",FALSE,84,"Unsigned-regulon fgsea NES",2.04334521,1.70383925,NA,NA,NA,NA,NA,NA,NA
"STAT6",FALSE,80,"Unsigned-regulon fgsea NES",2.04301,1.68914129,NA,NA,NA,NA,NA,NA,NA
"CEBPA",FALSE,132,"Unsigned-regulon fgsea NES",2.03203007,1.83466224,NA,NA,NA,NA,NA,NA,NA
"TCF3",FALSE,73,"Unsigned-regulon fgsea NES",2.03196679,1.66114997,NA,NA,NA,NA,NA,NA,NA
"DDIT3",FALSE,68,"Unsigned-regulon fgsea NES",2.02434807,1.63906237,NA,NA,NA,NA,NA,NA,NA
"SIRT1",FALSE,40,"Unsigned-regulon fgsea NES",2.01417795,1.48082884,NA,NA,NA,NA,NA,NA,NA
"ATF2",FALSE,83,"Unsigned-regulon fgsea NES",2.01371172,1.70024463,NA,NA,NA,NA,NA,NA,NA
"ESR2",FALSE,119,"Unsigned-regulon fgsea NES",2.01203619,1.80530936,NA,NA,NA,NA,NA,NA,NA
"SP3",FALSE,246,"Unsigned-regulon fgsea NES",2.01193987,2.00932271,NA,NA,NA,NA,NA,NA,NA
"CEBPB",FALSE,258,"Unsigned-regulon fgsea NES",2.00881635,2.02291031,NA,NA,NA,NA,NA,NA,NA
"MSC",FALSE,20,"Unsigned-regulon fgsea NES",2.00425812,1.20335353,NA,NA,NA,NA,NA,NA,NA
"TRERF1",FALSE,13,"Unsigned-regulon fgsea NES",2.00363617,0.985554087,NA,NA,NA,NA,NA,NA,NA
"SNAI1",FALSE,60,"Unsigned-regulon fgsea NES",2.00142924,1.60131104,NA,NA,NA,NA,NA,NA,NA
"NFATC1",FALSE,81,"Unsigned-regulon fgsea NES",1.98564756,1.69289722,NA,NA,NA,NA,NA,NA,NA
"NR3C2",FALSE,30,"Unsigned-regulon fgsea NES",1.98374975,1.3698979,NA,NA,NA,NA,NA,NA,NA
"SPI1",FALSE,231,"Unsigned-regulon fgsea NES",1.98055603,1.99147635,NA,NA,NA,NA,NA,NA,NA
"SSRP1",FALSE,87,"Unsigned-regulon fgsea NES",1.97264152,1.71432431,NA,NA,NA,NA,NA,NA,NA
"RXRA",FALSE,53,"Unsigned-regulon fgsea NES",1.96990612,1.56743794,NA,NA,NA,NA,NA,NA,NA
"NR3C1",FALSE,164,"Unsigned-regulon fgsea NES",1.95389225,1.89548704,NA,NA,NA,NA,NA,NA,NA
"KLF4",FALSE,74,"Unsigned-regulon fgsea NES",1.95215241,1.66534452,NA,NA,NA,NA,NA,NA,NA
"FOSL1",FALSE,25,"Unsigned-regulon fgsea NES",1.95111711,1.29311624,NA,NA,NA,NA,NA,NA,NA
"ATF1",FALSE,58,"Unsigned-regulon fgsea NES",1.94959252,1.59186981,NA,NA,NA,NA,NA,NA,NA
"NFIC",FALSE,40,"Unsigned-regulon fgsea NES",1.94616557,1.48082884,NA,NA,NA,NA,NA,NA,NA
"IRF2",FALSE,43,"Unsigned-regulon fgsea NES",1.9428793,1.50635933,NA,NA,NA,NA,NA,NA,NA
"POU2F1",FALSE,56,"Unsigned-regulon fgsea NES",1.94247531,1.58229556,NA,NA,NA,NA,NA,NA,NA
"NFATC2",FALSE,66,"Unsigned-regulon fgsea NES",1.93129996,1.62965718,NA,NA,NA,NA,NA,NA,NA
"SREBF2",FALSE,46,"Unsigned-regulon fgsea NES",1.93092886,1.5276031,NA,NA,NA,NA,NA,NA,NA
"IRF3",FALSE,59,"Unsigned-regulon fgsea NES",1.9299602,1.59660101,NA,NA,NA,NA,NA,NA,NA
"STAT5A",FALSE,138,"Unsigned-regulon fgsea NES",1.92688713,1.84717216,NA,NA,NA,NA,NA,NA,NA
"STAT4",FALSE,26,"Unsigned-regulon fgsea NES",1.92149432,1.30990517,NA,NA,NA,NA,NA,NA,NA
"HMGB2",FALSE,8,"Unsigned-regulon fgsea NES",1.92075741,0.732469988,NA,NA,NA,NA,NA,NA,NA
"PGR",FALSE,77,"Unsigned-regulon fgsea NES",1.92056157,1.67752435,NA,NA,NA,NA,NA,NA,NA
"SPDEF",FALSE,11,"Unsigned-regulon fgsea NES",1.92018557,0.896792393,NA,NA,NA,NA,NA,NA,NA
