tf,regulon_size,ulm_score,ulm_rank,ulm_padj,fgsea_nes,fgsea_rank,fgsea_set_size,fgsea_padj,population,focus_tf,log_size,ulm_score_size_expected,ulm_score_size_residual,fgsea_nes_size_expected,fgsea_nes_size_residual,ulm_score_size_residual_rank,fgsea_nes_size_residual_rank,n_tfs_ulm_ranked,n_tfs_fgsea_ranked
USF2,70,2.3899291,170,0.0550482075,1.629442,169,71,0.0428167044,Treg,FALSE,1.84509804,2.61942361,-0.229494515,1.64623091,-0.0167889136,326,388,601,592
ARNT,47,2.38818579,171,0.0550482075,1.87388131,80,47,0.00929245298,Treg,FALSE,1.67209786,2.08424867,0.30393712,1.52556832,0.348312986,247,216,601,592
HLX,11,2.36909595,172,0.0573524958,1.20101848,364,11,0.499228795,Treg,FALSE,1.04139269,0.808427386,1.56066856,0.879981683,0.321036797,105,227,601,592
TET1,10,2.36455315,173,0.057446076,1.35038966,319,10,0.35478414,Treg,FALSE,1,0.74342295,1.6211302,0.829402039,0.520987621,100,150,601,592
SMAD1,33,2.35588369,174,0.0584944269,1.63297277,166,33,0.078885321,Treg,FALSE,1.51851394,1.68642897,0.669454713,1.3960619,0.236910874,195,274,601,592
CTCF,100,2.34219775,175,0.0603658678,1.33113057,322,103,0.207642276,Treg,FALSE,2,3.12999101,-0.787793255,1.76038992,-0.429259352,412,494,601,592
JDP2,30,2.33137285,176,0.0618148127,1.84178337,86,30,0.0160662464,Treg,FALSE,1.47712125,1.58198729,0.749385564,1.35798529,0.483798079,183,160,601,592
TP73,95,2.32199868,177,0.0625935095,1.42437333,284,96,0.127811917,Treg,FALSE,1.97772361,3.0492026,-0.727203921,1.73935089,-0.314977563,404,473,601,592
RUNX2,59,2.3200479,178,0.0625935095,1.7347897,120,61,0.0221909021,Treg,FALSE,1.77085201,2.39072239,-0.0706744897,1.59921223,0.135577469,297,319,601,592
ID2,36,2.3193533,179,0.0625935095,1.50019341,242,37,0.1508386,Treg,FALSE,1.5563025,1.78553283,0.533820475,1.44036435,0.0598290614,215,354,601,592
ELF4,32,2.3189294,180,0.0625935095,1.53373137,219,33,0.135855237,Treg,FALSE,1.50514998,1.65196558,0.666963811,1.3960619,0.13766947399999999,197,316,601,592
SP7,16,2.30702525,181,0.0642732485,1.36336535,314,16,0.322038991,Treg,FALSE,1.20411998,1.05434751,1.25267774,1.08474741,0.278617936,135,248,601,592
ATF6,42,2.29762915,182,0.0655167463,1.59924152,185,43,0.0830728584,Treg,FALSE,1.62324929,1.95529145,0.342337701,1.49669654,0.10254498,240,330,601,592
RUNX1,133,2.29569709,183,0.0655167463,1.84145237,87,133,0.00116746951,Treg,FALSE,2.12385164,3.61712286,-1.32142577,1.83530379,0.00614857787,483,377,601,592
CTNNB1,172,2.29404632,184,0.0655167463,1.7129772,130,174,0.00189520425,Treg,FALSE,2.23552845,4.10194706,-1.80790074,1.91261609,-0.19963889,524,447,601,592
FOXC1,8,2.25908821,185,0.0710882315,1.73556309,119,8,0.0565593728,Treg,FALSE,0.903089987,0.595113485,1.66397472,0.712199922,1.02336317,98,22,601,592
ZNF354C,16,2.25579894,186,0.0712004734,1.47382449,256,16,0.223365121,Treg,FALSE,1.20411998,1.05434751,1.20145143,1.08474741,0.389077076,139,198,601,592
APEX1,27,2.25469482,187,0.0712004734,1.5605373,207,27,0.129274061,Treg,FALSE,1.43136376,1.47864601,0.776048809,1.31408327,0.246454031,179,264,601,592
