tf,regulon_size,ulm_score,ulm_rank,ulm_padj,fgsea_nes,fgsea_rank,fgsea_set_size,fgsea_padj,population,focus_tf,log_size,ulm_score_size_expected,ulm_score_size_residual,fgsea_nes_size_expected,fgsea_nes_size_residual,ulm_score_size_residual_rank,fgsea_nes_size_residual_rank,n_tfs_ulm_ranked,n_tfs_fgsea_ranked
KMT2A,50,-0.410682685,508,0.8060398,-0.693737856,526,50,0.986725709,Treg,FALSE,1.69897,2.16373667,-2.57441935,1.54377795,-2.23751581,559,584,601,592
FOXH1,8,-0.41131738,509,0.8060398,-0.802766436,539,8,0.861441873,Treg,FALSE,0.903089987,0.595113485,-1.00643087,0.712199922,-1.51496636,438,536,601,592
KLF3,7,-0.459262446,510,0.785987367,-1.24416405,579,7,0.470022877,Treg,FALSE,0.84509804,0.507633698,-0.966896144,0.642701868,-1.88686592,433,567,601,592
ZFPM1,11,-0.527750634,511,0.746790343,-0.749995052,531,11,0.905693364,Treg,FALSE,1.04139269,0.808427386,-1.33617802,0.879981683,-1.62997673,485,548,601,592
SIN3A,8,-0.53081676,512,0.746790343,1.63216145,167,8,0.117495128,Treg,FALSE,0.903089987,0.595113485,-1.12593024,0.712199922,0.919961528,455,41,601,592
DOT1L,6,-0.535940611,513,0.744344928,-0.693384624,525,6,0.928562009,Treg,FALSE,0.77815125,0.407887966,-0.943828577,0.562778809,-1.25616343,427,516,601,592
ARID5B,7,-0.543488619,514,0.742459053,-0.835661241,543,7,0.835006495,Treg,FALSE,0.84509804,0.507633698,-1.05112232,0.642701868,-1.47836311,442,532,601,592
HTATIP2,10,-0.548559797,515,0.741169377,0.791900443,488,10,0.871346347,Treg,FALSE,1,0.74342295,-1.29198275,0.829402039,-0.0375015962,477,399,601,592
HOXB1,5,-0.554752429,516,0.738901904,0.569734965,510,5,0.980204881,Treg,FALSE,0.698970004,0.294075668,-0.848828097,0.468560678,0.101174287,420,331,601,592
NFE2L1,7,-0.604593574,517,0.70347808,-0.820744882,541,7,0.847122454,Treg,FALSE,0.84509804,0.507633698,-1.11222727,0.642701868,-1.46344675,450,529,601,592
CRX,11,-0.614525041,518,0.703003861,-0.846142458,546,11,0.832390507,Treg,FALSE,1.04139269,0.808427386,-1.42295243,0.879981683,-1.72612414,493,552,601,592
TWIST1,42,-0.626064277,519,0.695645049,1.17510578,373,42,0.47166066,Treg,FALSE,1.62324929,1.95529145,-2.58135573,1.48834047,-0.313234688,560,472,601,592
SIM2,7,-0.631967772,520,0.693606944,-0.666959201,522,8,0.944482051,Treg,FALSE,0.84509804,0.507633698,-1.13960147,0.712199922,-1.37915912,458,524,601,592
ZBTB7A,29,-0.636964376,521,0.692159994,1.71576789,127,29,0.0503544202,Treg,FALSE,1.462398,1.54698167,-2.18394604,1.34409339,0.3716745,545,206,601,592
NPM1,11,-0.641071844,522,0.691861783,0.947478815,446,11,0.745259563,Treg,FALSE,1.04139269,0.808427386,-1.44949923,0.879981683,0.0674971324,496,350,601,592
GRHL3,15,-0.647142676,523,0.689684439,-1.11191767,570,16,0.569959371,Treg,FALSE,1.17609126,1.00731582,-1.65445849,1.08474741,-2.19666508,512,582,601,592
PURA,14,-0.652147171,524,0.688428695,-0.846039022,545,14,0.836639452,Treg,FALSE,1.14612804,0.961554623,-1.61370179,1.01094486,-1.85698389,507,563,601,592
PATZ1,9,-0.67192488399999994,525,0.677499343,-1.15615373,572,9,0.547094636,Treg,FALSE,0.954242509,0.673156788,-1.34508167,0.773952919,-1.93010665,486,570,601,592
ZNF382,7,-0.692191395,526,0.668457563,1.17213614,376,7,0.541737028,Treg,FALSE,0.84509804,0.507633698,-1.19982509,0.642701868,0.529434272,465,148,601,592
GRHL2,5,-0.719705996,527,0.650235202,-1.07300583,567,5,0.653053438,Treg,FALSE,0.698970004,0.294075668,-1.01378166,0.468560678,-1.54156651,440,539,601,592
BHLHE40,26,-0.739425975,528,0.636534852,1.81132481,96,28,0.0256530513,Treg,FALSE,1.41497335,1.4462279,-2.18565387,1.32948734,0.481837468,546,162,601,592
FEV,5,-0.764095109,529,0.620275851,1.04567267,418,5,0.674417392,Treg,FALSE,0.698970004,0.294075668,-1.05817078,0.468560678,0.577111992,444,134,601,592
MYBL1,8,-0.780784234,530,0.610439262,-0.794795219,538,8,0.867604854,Treg,FALSE,0.903089987,0.595113485,-1.37589772,0.712199922,-1.50699514,489,534,601,592
DBP,15,-0.785077795,531,0.608630371,-0.807640324,540,16,0.871346347,Treg,FALSE,1.17609126,1.00731582,-1.79239361,1.08474741,-1.89238774,522,568,601,592
FOXL2,11,-0.831796037,532,0.578927556,1.12420476,390,11,0.574697314,Treg,FALSE,1.04139269,0.808427386,-1.64022342,0.879981683,0.244223077,511,267,601,592
KLF8,16,-0.834241921,533,0.578332154,0.865968396,476,16,0.819332531,Treg,FALSE,1.20411998,1.05434751,-1.88858943,1.08474741,-0.218779018,528,452,601,592
TRIM28,5,-0.858382493,534,0.563089424,1.01604752,423,5,0.699540279,Treg,FALSE,0.698970004,0.294075668,-1.15245816,0.468560678,0.547486842,460,144,601,592
ZNF202,6,-0.85860606,535,0.563089424,0.918593596,454,6,0.768671294,Treg,FALSE,0.77815125,0.407887966,-1.26649403,0.562778809,0.355814787,473,212,601,592
YBX3,19,-0.859246002,536,0.563089424,-0.734555135,529,19,0.930493775,Treg,FALSE,1.2787536,1.18983492,-2.04908093,1.16853662,-1.90309176,533,569,601,592
FGF2,5,-0.866963189,537,0.561676033,-0.984563555,557,5,0.728495124,Treg,FALSE,0.698970004,0.294075668,-1.16103886,0.468560678,-1.45312423,462,527,601,592
CREBZF,12,-0.869531272,538,0.56098904,0.735002856,504,12,0.913696083,Treg,FALSE,1.07918125,0.865637847,-1.73516912,0.926747816,-0.19174496,516,445,601,592
NANOG,32,-0.881113198,539,0.555846655,1.17344867,374,33,0.484930448,Treg,FALSE,1.50514998,1.65196558,-2.53307878,1.3960619,-0.222613226,557,454,601,592
POU3F2,12,-0.884092659,540,0.554836985,-1.00757752,562,12,0.687484752,Treg,FALSE,1.07918125,0.865637847,-1.74973051,0.926747816,-1.93432534,519,571,601,592
KAT6A,8,-0.896454467,541,0.549201563,-0.98590988,558,8,0.713310118,Treg,FALSE,0.903089987,0.595113485,-1.49156795,0.712199922,-1.6981098,499,551,601,592
ATOH1,5,-0.905239584,542,0.547303604,-0.5077951,514,5,0.997007307,Treg,FALSE,0.698970004,0.294075668,-1.19931525,0.468560678,-0.976355778,464,511,601,592
TCF4,31,-0.907854101,543,0.546866338,1.20674335,361,31,0.451554047,Treg,FALSE,1.49136169,1.61707505,-2.52492915,1.37123608,-0.164492728,556,435,601,592
ZNF300,6,-0.947466403,544,0.529667438,1.43489274,274,6,0.277407564,Treg,FALSE,0.77815125,0.407887966,-1.35535437,0.562778809,0.872113931,487,52,601,592
MECP2,18,-0.963406643,545,0.520804761,1.54734188,211,19,0.158203213,Treg,FALSE,1.25527251,1.1465867,-2.10999335,1.16853662,0.378805256,541,203,601,592
PROX1,18,-0.963839728,546,0.520804761,1.42618429,280,18,0.256561369,Treg,FALSE,1.25527251,1.1465867,-2.11042643,1.1442887,0.281895591,542,247,601,592
SOX17,23,-0.972361988,547,0.519225238,1.36758599,311,23,0.294671116,Treg,FALSE,1.36172784,1.34548248,-2.31784447,1.24682917,0.12075682,550,327,601,592
BHLHE41,19,-1.01111385,548,0.50230079,1.52927466,225,21,0.165329825,Treg,FALSE,1.2787536,1.18983492,-2.20094877,1.21031357,0.31896109,547,229,601,592
FOXF2,8,-1.01275807,549,0.50230079,1.57565224,194,8,0.158889999,Treg,FALSE,0.903089987,0.595113485,-1.60787155,0.712199922,0.863452318,506,54,601,592
ZBED1,17,-1.01729857,550,0.50230079,-1.07494239,568,18,0.610786304,Treg,FALSE,1.23044892,1.1014466,-2.11874517,1.1442887,-2.21923109,543,583,601,592
TFDP2,5,-1.03407208,551,0.494462621,-1.33474303,584,5,0.36645188,Treg,FALSE,0.698970004,0.294075668,-1.32814775,0.468560678,-1.80330371,484,561,601,592
NR2E3,5,-1.09110763,552,0.465976985,-0.995047337,560,5,0.720190175,Treg,FALSE,0.698970004,0.294075668,-1.38518329,0.468560678,-1.46360802,491,530,601,592
HOXA5,5,-1.17112888,553,0.414804898,-1.1872469,573,5,0.536271249,Treg,FALSE,0.698970004,0.294075668,-1.46520455,0.468560678,-1.65580758,497,549,601,592
VHL,19,-1.21889497,554,0.391866289,0.920778559,453,20,0.772267456,Treg,FALSE,1.2787536,1.18983492,-2.4087299,1.19032524,-0.269546677,552,460,601,592
SMAD6,12,-1.22045017,555,0.391866289,1.87191924,81,12,0.0208084337,Treg,FALSE,1.07918125,0.865637847,-2.08608802,0.926747816,0.945171424,536,34,601,592
SALL3,5,-1.23576242,556,0.385080308,0.746661813,500,5,0.892141916,Treg,FALSE,0.698970004,0.294075668,-1.52983809,0.468560678,0.278101135,501,249,601,592
BCL6,70,-1.25728508,557,0.374362724,1.68287207,152,70,0.0286329711,Treg,FALSE,1.84509804,2.61942361,-3.87670869,1.64171225,0.0411598213,594,365,601,592
BACH2,6,-1.26606652,558,0.37090605,-0.753981943,532,6,0.892251933,Treg,FALSE,0.77815125,0.407887966,-1.67395448,0.562778809,-1.31676075,514,519,601,592
FOXP1,11,-1.28733802,559,0.361691998,-1.21688384,576,11,0.481230362,Treg,FALSE,1.04139269,0.808427386,-2.09576541,0.879981683,-2.09686552,539,577,601,592
RREB1,5,-1.32770479,560,0.344065926,1.22577998,355,5,0.50464564,Treg,FALSE,0.698970004,0.294075668,-1.62178046,0.468560678,0.757219302,510,83,601,592
SNAI2,30,-1.33158615,561,0.343730499,1.73778913,117,30,0.0428167044,Treg,FALSE,1.47712125,1.58198729,-2.91357344,1.35798529,0.379803839,575,202,601,592
BCLAF1,6,-1.33537535,562,0.342466837,-1.18920482,574,6,0.532188387,Treg,FALSE,0.77815125,0.407887966,-1.74326332,0.562778809,-1.75198363,517,555,601,592
LYL1,9,-1.40159698,563,0.311240317,0.74763928,499,9,0.898247204,Treg,FALSE,0.954242509,0.673156788,-2.07475377,0.773952919,-0.0263136388,535,393,601,592
PIN1,5,-1.40767703,564,0.308737451,-1.3204021,583,5,0.381697508,Treg,FALSE,0.698970004,0.294075668,-1.70175269,0.468560678,-1.78896278,515,558,601,592
NFE2L3,6,-1.41557296,565,0.308204631,0.887520684,469,6,0.792368232,Treg,FALSE,0.77815125,0.407887966,-1.82346092,0.562778809,0.324741875,525,225,601,592
WWTR1,6,-1.44951633,566,0.291041856,-1.47446384,589,6,0.225629443,Treg,FALSE,0.77815125,0.407887966,-1.8574043,0.562778809,-2.03724265,526,576,601,592
CTBP1,8,-1.47265908,567,0.283144307,1.11269406,396,8,0.593808689,Treg,FALSE,0.903089987,0.595113485,-2.06777257,0.712199922,0.400494138,534,188,601,592
GFI1,40,-1.48884158,568,0.276373192,1.39933278,292,41,0.225274565,Treg,FALSE,1.60205999,1.90352096,-3.39236254,1.47940821,-0.0800754251,588,416,601,592
FOXG1,8,-1.49896737,569,0.272802353,1.86393068,83,8,0.0169109136,Treg,FALSE,0.903089987,0.595113485,-2.09408086,0.712199922,1.15173076,538,5,601,592
ESRRA,23,-1.5210314,570,0.264924409,0.789210186,490,23,0.89400924,Treg,FALSE,1.36172784,1.34548248,-2.86651388,1.24682917,-0.457618984,571,498,601,592
DLX2,12,-1.56358486,571,0.248703711,1.36996684,310,13,0.326946231,Treg,FALSE,1.07918125,0.865637847,-2.42922271,0.970288406,0.399678434,553,189,601,592
DLX5,8,-1.62559721,572,0.225771795,-0.830845037,542,9,0.841157994,Treg,FALSE,0.903089987,0.595113485,-2.2207107,0.773952919,-1.60479796,548,545,601,592
POU5F1,43,-1.63405692,573,0.2226953,1.18560559,369,45,0.456335488,Treg,FALSE,1.63346846,1.98022969,-3.61428661,1.51193468,-0.326329088,589,476,601,592
NR0B1,24,-1.6368229,574,0.222295962,-0.962560034,554,25,0.732115612,Treg,FALSE,1.38021124,1.38046,-3.0172829,1.28099249,-2.24355253,578,585,601,592
TBX3,10,-1.63804952,575,0.222295962,1.42995717,278,10,0.280271787,Treg,FALSE,1,0.74342295,-2.38147246,0.829402039,0.600555131,551,126,601,592
HDAC4,16,-1.65236801,576,0.219213598,1.51374987,232,17,0.19074242,Treg,FALSE,1.20411998,1.05434751,-2.70671552,1.1167292,0.397020671,565,192,601,592
TFCP2,44,-1.6573253,577,0.21859387,-1.24318011,578,45,0.37081524,Treg,FALSE,1.64345268,2.0057221,-3.6630474,1.51193468,-2.75511479,590,592,601,592
FOXI1,6,-1.68154401,578,0.212597108,-1.40288064,586,6,0.300429807,Treg,FALSE,0.77815125,0.407887966,-2.08943198,0.562778809,-1.96565945,537,573,601,592
ZNF76,6,-1.6990741,579,0.207281059,1.42430572,285,6,0.289161062,Treg,FALSE,0.77815125,0.407887966,-2.10696207,0.562778809,0.861526911,540,56,601,592
SMAD7,40,-1.79388605,580,0.173748466,0.999849929,429,40,0.693582906,Treg,FALSE,1.60205999,1.90352096,-3.69740701,1.47004572,-0.470195792,591,499,601,592
E2F7,6,-1.81992723,581,0.166038768,1.4662873300000001,262,6,0.248712824,Treg,FALSE,0.77815125,0.407887966,-2.2278152,0.562778809,0.903508521,549,44,601,592
HIC1,15,-1.85181586,582,0.158469389,1.30443206,329,15,0.384116538,Treg,FALSE,1.17609126,1.00731582,-2.85913167,1.04901258,0.255419477,570,260,601,592
TFAP2C,16,-1.86726757,583,0.153689902,1.11546988,395,16,0.571557256,Treg,FALSE,1.20411998,1.05434751,-2.92161508,1.08474741,0.0307224662,576,366,601,592
NR1D1,9,-2.2091918,584,0.0770223905,1.21699472,358,10,0.485631199,Treg,FALSE,0.954242509,0.673156788,-2.88234859,0.829402039,0.387592681,572,199,601,592
CTCFL,6,-2.28473706,585,0.0668071121,-1.79449005,594,6,0.019703223,Treg,FALSE,0.77815125,0.407887966,-2.69262502,0.562778809,-2.35726886,563,587,601,592
ZBTB16,32,-2.36647163,586,0.057446076,1.04064703,419,32,0.643677615,Treg,FALSE,1.50514998,1.65196558,-4.01843722,1.3839096,-0.343262572,597,479,601,592
NR1I3,24,-2.38526544,587,0.0551886875,1.05572195,415,24,0.630569836,Treg,FALSE,1.38021124,1.38046,-3.76572544,1.26407253,-0.208350584,592,448,601,592
TBX2,14,-2.389117,588,0.0550482075,1.21740468,357,14,0.47543359,Treg,FALSE,1.14612804,0.961554623,-3.35067162,1.01094486,0.206459817,587,283,601,592
KLF17,5,-2.39149831,589,0.0550482075,1.4855178,247,5,0.219871594,Treg,FALSE,0.698970004,0.294075668,-2.68557397,0.468560678,1.01695712,561,23,601,592
TCF21,7,-2.39422196,590,0.0550482075,1.19390041,366,7,0.524804732,Treg,FALSE,0.84509804,0.507633698,-2.90185565,0.642701868,0.551198542,573,142,601,592
ID4,5,-2.51232972,591,0.0426918085,-1.6557613900000001,592,5,0.0562318943,Treg,FALSE,0.698970004,0.294075668,-2.80640538,0.468560678,-2.12432207,569,581,601,592
MYF6,7,-2.54553725,592,0.0400236762,1.48517539,248,7,0.234028565,Treg,FALSE,0.84509804,0.507633698,-3.05317095,0.642701868,0.842473522,580,62,601,592
NAB2,6,-2.64618005,593,0.0316000057,1.18483295,370,6,0.537135841,Treg,FALSE,0.77815125,0.407887966,-3.05406802,0.562778809,0.622054141,581,114,601,592
TGIF1,8,-2.73136365,594,0.0253028434,1.7088228,132,8,0.0694427213,Treg,FALSE,0.903089987,0.595113485,-3.32647713,0.712199922,0.996622878,585,28,601,592
NFIX,8,-2.75122784,595,0.0241409847,1.06961227,407,8,0.634861361,Treg,FALSE,0.903089987,0.595113485,-3.34634133,0.712199922,0.357412348,586,211,601,592
TBX1,5,-2.87384758,596,0.0180796384,1.5507975,210,5,0.153794701,Treg,FALSE,0.698970004,0.294075668,-3.16792325,0.468560678,1.08223682,583,12,601,592
GFI1B,9,-3.12382329,597,0.00995445229,1.08813519,401,9,0.616109169,Treg,FALSE,0.954242509,0.673156788,-3.79698007,0.773952919,0.314182271,593,232,601,592
SKIL,11,-3.14342366,598,0.0095778061,1.5689210200000001,201,11,0.161838405,Treg,FALSE,1.04139269,0.808427386,-3.95185105,0.879981683,0.688939337,596,94,601,592
HDAC1,54,-3.80524698,599,0.00124234362,1.79712474,104,55,0.0126195949,Treg,FALSE,1.73239376,2.26782428,-6.07307126,1.57030832,0.226816421,601,278,601,592
NR2E1,8,-3.87101706,600,0.00100666969,1.55663989,208,8,0.173390558,Treg,FALSE,0.903089987,0.595113485,-4.46613054,0.712199922,0.844439968,599,60,601,592
ZBTB4,10,-3.9792852,601,6.95870372e-4,-1.21762685,577,11,0.480006528,Treg,FALSE,1,0.74342295,-4.72270814,0.879981683,-2.09760853,600,578,601,592
