population,tf,variant,method,configuration,score,p_value,padj,rank,n_tfs_scored,pct_rank,regulon_size,direction
Tcon,HIF1A,literature_signed,mlm,literature_signed / mlm,1.88418119,0.0595611456,0.307602192,45,392,11.4795918,144,Up
Tcon,HIF1A,literature_signed,ulm,literature_signed / ulm,6.64400748,3.1622104e-11,1.77083782e-9,7,392,1.78571429,144,Up
Tcon,HIF1A,signed,consensus,signed / consensus,3.32462222,8.8538418e-4,0.107839793,4,609,0.65681445,302,Up
Tcon,HIF1A,signed,mlm,signed / mlm,3.00040205,0.00270104972,0.128994431,8,609,1.3136289,302,Up
Tcon,HIF1A,signed,ulm,signed / ulm,8.64264481,6.0644905699999996e-18,6.15545793e-16,6,609,0.985221675,302,Up
Tcon,HIF1A,unsigned,consensus,unsigned / consensus,3.02068999,0.00252199429,0.191986816,8,609,1.3136289,302,Up
Tcon,HIF1A,unsigned,mlm,unsigned / mlm,2.49992232,0.0124335674,0.27646244,15,609,2.46305419,302,Up
Tcon,HIF1A,unsigned,ulm,unsigned / ulm,9.17122611,5.30026972e-20,4.03483032e-18,8,609,1.3136289,302,Up
Tcon,HIF1A,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.19921361,1.06437487e-13,2.50170669e-11,27,602,4.48504983,305,Up
Tcon,HSF1,alias_recovered,consensus,alias_recovered / consensus,1.32879868,0.183914399,0.999609915,41,611,6.71031097,72,Up
Tcon,HSF1,alias_recovered,mlm,alias_recovered / mlm,1.93634115,0.0528463259,0.443528661,43,611,7.03764321,72,Up
Tcon,HSF1,alias_recovered,ulm,alias_recovered / ulm,4.57777117,4.73885659e-6,6.43431417e-5,45,611,7.36497545,72,Up
Tcon,HSF1,literature_signed,consensus,literature_signed / consensus,1.01105803,0.311988657,0.985801947,50,392,12.755102,26,Up
Tcon,HSF1,literature_signed,mlm,literature_signed / mlm,1.98642934,0.0470051114,0.297193608,37,392,9.43877551,26,Up
Tcon,HSF1,literature_signed,ulm,literature_signed / ulm,3.185229,0.00144947572,0.00800273921,61,392,15.5612245,26,Up
Tcon,HSF1,signed,consensus,signed / consensus,1.37832152,0.168104042,0.999032362,39,609,6.40394089,71,Up
Tcon,HSF1,signed,mlm,signed / mlm,2.02397344,0.042992112,0.415590416,34,609,5.58292282,71,Up
Tcon,HSF1,signed,ulm,signed / ulm,4.69599271,2.67762059e-6,3.79225799e-5,43,609,7.06075534,71,Up
Tcon,HSF1,unsigned,consensus,unsigned / consensus,1.3894907,0.164683586,0.998670978,40,609,6.5681445,71,Up
Tcon,HSF1,unsigned,mlm,unsigned / mlm,1.79818648,0.0721693062,0.563217022,50,609,8.21018062,71,Up
Tcon,HSF1,unsigned,ulm,unsigned / ulm,5.80066536,6.7438226e-9,9.33406356e-8,44,609,7.22495895,71,Up
Tcon,HSF1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.07748629,2.78278405e-6,9.01194789e-5,50,602,8.30564784,72,Up
Tcon,NFKB1,alias_recovered,consensus,alias_recovered / consensus,2.87464887,0.00404477038,0.251408649,6,611,0.981996727,291,Up
Tcon,NFKB1,alias_recovered,mlm,alias_recovered / mlm,1.38692939,0.165485698,0.672129854,84,611,13.7479542,291,Up
Tcon,NFKB1,alias_recovered,ulm,alias_recovered / ulm,8.01047678,1.2297134100000002e-15,9.39193619e-14,8,611,1.30932897,291,Up
Tcon,NFKB1,literature_signed,consensus,literature_signed / consensus,2.07320693,0.038153026,0.985801947,10,392,2.55102041,152,Up
Tcon,NFKB1,literature_signed,mlm,literature_signed / mlm,0.125622582,0.900032488,0.978466948,194,392,49.4897959,152,Up
Tcon,NFKB1,literature_signed,ulm,literature_signed / ulm,6.01557001,1.83594691e-9,5.99742656e-8,12,392,3.06122449,152,Up
Tcon,NFKB1,signed,consensus,signed / consensus,2.87703937,0.00401425515,0.253898261,7,609,1.14942529,289,Up
Tcon,NFKB1,signed,mlm,signed / mlm,1.43539599,0.15119695,0.643908689,82,609,13.4646962,289,Up
Tcon,NFKB1,signed,ulm,signed / ulm,7.93314193,2.29319839e-15,1.74569727e-13,8,609,1.3136289,289,Up
Tcon,NFKB1,unsigned,consensus,unsigned / consensus,3.2629596,0.00110255236,0.134290878,5,609,0.821018062,289,Up
Tcon,NFKB1,unsigned,mlm,unsigned / mlm,2.46747964,0.0136188394,0.27646244,19,609,3.11986864,289,Up
Tcon,NFKB1,unsigned,ulm,unsigned / ulm,9.9445106,3.16592842e-23,3.85610082e-21,5,609,0.821018062,289,Up
Tcon,NFKB1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.40224207,1.46909347e-18,5.23175346e-16,7,602,1.1627907,290,Up
Tcon,REL,alias_recovered,consensus,alias_recovered / consensus,1.51865409,0.128849588,0.999609915,29,611,4.74631751,88,Up
Tcon,REL,alias_recovered,mlm,alias_recovered / mlm,-0.55746103,0.57722152,0.903415041,417,611,68.2487725,88,Down
Tcon,REL,alias_recovered,ulm,alias_recovered / ulm,6.57395108,5.06829246e-11,1.62985615e-9,19,611,3.1096563,88,Up
Tcon,REL,literature_signed,consensus,literature_signed / consensus,0.919264656,0.35795716,0.985801947,58,392,14.7959184,46,Up
Tcon,REL,literature_signed,mlm,literature_signed / mlm,-1.22106164,0.222083217,0.608787561,333,392,84.9489796,46,Down
Tcon,REL,literature_signed,ulm,literature_signed / ulm,4.28176659,1.86615322e-5,2.21886939e-4,31,392,7.90816327,46,Up
Tcon,REL,signed,consensus,signed / consensus,1.60618719,0.108232788,0.999032362,26,609,4.26929392,86,Up
Tcon,REL,signed,mlm,signed / mlm,-0.132376463,0.89468846,0.978214133,329,609,54.0229885,86,Down
Tcon,REL,signed,ulm,signed / ulm,6.64090419,3.22930996e-11,1.1568528e-9,17,609,2.79146141,86,Up
Tcon,REL,unsigned,consensus,unsigned / consensus,1.45395839,0.145957842,0.998670978,34,609,5.58292282,86,Up
Tcon,REL,unsigned,mlm,unsigned / mlm,-0.417354479,0.676425638,0.929894387,381,609,62.5615764,86,Down
Tcon,REL,unsigned,ulm,unsigned / ulm,7.30823186,2.84902251e-13,6.67328735e-12,26,609,4.26929392,86,Up
Tcon,REL,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.29044671,1.47867665e-8,9.54802638e-7,14,602,2.3255814,88,Up
Tcon,STAT3,alias_recovered,consensus,alias_recovered / consensus,2.49713171,0.0125202445,0.478116837,13,611,2.12765957,295,Up
Tcon,STAT3,alias_recovered,mlm,alias_recovered / mlm,1.22918757,0.219022449,0.715677938,99,611,16.202946,295,Up
Tcon,STAT3,alias_recovered,ulm,alias_recovered / ulm,6.87720615,6.3550985e-12,2.58864346e-10,15,611,2.45499182,295,Up
Tcon,STAT3,literature_signed,consensus,literature_signed / consensus,3.29694466,9.77427563e-4,0.076630321,4,392,1.02040816,294,Up
Tcon,STAT3,literature_signed,mlm,literature_signed / mlm,2.21162491,0.0270086632,0.236226152,28,392,7.14285714,294,Up
Tcon,STAT3,literature_signed,ulm,literature_signed / ulm,6.93138043,4.34460181e-12,4.25770978e-10,4,392,1.02040816,294,Up
Tcon,STAT3,signed,consensus,signed / consensus,2.5714292,0.0101279722,0.474456544,12,609,1.97044335,294,Up
Tcon,STAT3,signed,mlm,signed / mlm,1.47082198,0.141362066,0.624986913,77,609,12.6436782,294,Up
Tcon,STAT3,signed,ulm,signed / ulm,6.93138043,4.34460181e-12,1.76390834e-10,15,609,2.46305419,294,Up
Tcon,STAT3,unsigned,consensus,unsigned / consensus,3.16463286,0.00155278752,0.157607933,6,609,0.985221675,294,Up
Tcon,STAT3,unsigned,mlm,unsigned / mlm,3.11630944,0.00183505749,0.139693751,5,609,0.821018062,294,Up
Tcon,STAT3,unsigned,ulm,unsigned / ulm,9.41801659,5.28238977e-21,5.36162562e-19,6,609,0.985221675,294,Up
Tcon,STAT3,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.38092341,5.2567189899999995e-17,1.62570952e-14,8,602,1.32890365,295,Up
Treg,ATF3,alias_recovered,consensus,alias_recovered / consensus,1.17271497,0.240910124,0.999423546,48,603,7.960199,73,Up
Treg,ATF3,alias_recovered,mlm,alias_recovered / mlm,1.22362216,0.221116321,0.712305406,89,603,14.7595357,73,Up
Treg,ATF3,alias_recovered,ulm,alias_recovered / ulm,4.11110473,3.96017185e-5,4.50562948e-4,52,603,8.62354892,73,Up
Treg,ATF3,literature_signed,consensus,literature_signed / consensus,-0.436924436,0.662166149,0.999135386,323,388,83.2474227,38,Down
Treg,ATF3,literature_signed,mlm,literature_signed / mlm,-1.87255228,0.0611516588,0.409380577,364,388,93.814433,38,Down
Treg,ATF3,literature_signed,ulm,literature_signed / ulm,-0.259815527,0.795009894,0.878066411,291,388,75,38,Down
