gene_symbol,log2FoldChange,pvalue,padj,neg_log10_padj,sf_direction,passes_de_gates,arm,hypoxia_purged,le_program,reference_axis,label_drawn,n_genes_tested,n_gates_sf_high_all_genes,n_gates_blood_high_all_genes,contrast,evidence_tier
PLAUR,2.08902827,2.2267788e-05,0.000185691819,3.73120723,SF_high,True,up,True,hypoxia_HIF,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
AK4,2.42733934,2.27981662e-05,0.000189555829,3.72226286,SF_high,True,up,True,hypoxia_HIF,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ITGA3,1.38999021,2.66059207e-05,0.000215021449,3.66751822,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
HBEGF,3.47953224,6.50977971e-05,0.000469494209,3.32836976,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CAMK2N1,2.31883935,8.22296487e-05,0.000582944322,3.23437292,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
FAM83G,0.820846445,9.27492285e-05,0.000647646295,3.18866211,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TANC2,-2.52674109,0.000150596727,0.000996004626,3.00173864,blood_high,True,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ATF3,2.29033447,0.000192620231,0.00122989974,2.91013029,SF_high,True,up,True,hypoxia_HIF,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
FAM110C,1.31779884,0.00037915834,0.00222231098,2.65319517,SF_high,True,up,False,other,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
EMILIN2,1.27019758,0.000446474856,0.00255028025,2.59341209,SF_high,True,up,False,other,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
HSPH1,0.563985736,0.000465410195,0.00263713797,2.57886715,SF_high,False,up,False,heat_shock_proteostasis,none,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TTC39C,-0.877623889,0.00047246142,0.0026674738,2.57389984,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
EGR2,2.81393096,0.000622968081,0.00336027367,2.47362535,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ZBTB32,1.858606,0.00111162674,0.00548751726,2.2606241,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
BATF3,1.60564716,0.00123848591,0.00599524775,2.22219286,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
EGR1,1.85663857,0.00138103646,0.0065875206,2.18127801,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
GFI1,1.33506423,0.00199797383,0.00904235005,2.04371868,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CD40LG,0.991486909,0.00345932802,0.0143686567,1.84258383,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ADAM8,0.680605581,0.00358555045,0.0148102921,1.82943638,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ADORA2A,0.544506303,0.00437806517,0.0174603078,1.75794811,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
NR4A3,1.58104335,0.004786893,0.018808417,1.72564775,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SLC41A1,0.440177213,0.00730020452,0.0267617399,1.57248565,SF_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
MST1R,1.93104424,0.0160827854,0.0505913777,1.29592349,SF_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
HK2,0.674973861,0.0193520304,0.0586420531,1.23179083,SF_high,False,up,True,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PKIB,-1.29363126,0.0207469855,0.0619954821,1.20763996,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PLA2G4C,1.34329668,0.0234989307,0.0684260607,1.16477846,SF_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IER3,1.03876252,0.0258056582,0.0736419338,1.13287482,SF_high,False,up,True,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PAK1,0.346279916,0.027019841,0.0762250435,1.11790232,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ASB2,0.869651064,0.0279057335,0.077982768,1.10800135,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
GPR183,0.32233768,0.0286531484,0.0796296948,1.09892495,SF_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
MCF2L,-1.43965507,0.0320164753,0.0866951963,1.06200497,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
DAGLA,2.00475578,0.0519250558,0.127304849,0.895155055,SF_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TNFSF14,0.683224065,0.0599736513,0.142149715,0.847254006,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
GATM,-1.3167417,0.077571076,0.172073412,0.76428623,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CTH,-1.18253416,0.0849281846,0.18442182,0.734187696,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SPHK1,1.65453902,0.111313866,0.225643113,0.646577916,SF_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
NEB,-1.19071753,0.131006698,0.255456739,0.592682635,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
C22orf15,-1.03597927,0.133573618,0.258891555,0.586882116,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SLC4A11,1.57158291,0.155385098,0.288679366,0.539584256,SF_high,False,up,False,other,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CD83,-0.218871835,0.192049759,0.337705235,0.471462207,blood_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SAMD4A,-0.711000637,0.210023973,0.360612972,0.442958655,blood_high,False,up,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CPM,0.261032873,0.219740154,0.372502098,0.428871277,SF_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CD200,-0.465127042,0.245995071,0.403983778,0.393636074,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PLK3,0.238320314,0.253298427,0.412338818,0.384745779,SF_high,False,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IL24,-0.817526086,0.266299698,0.427144846,0.369424829,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
RAB34,0.480117683,0.284870067,0.44725992,0.349440018,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SPRY1,-0.779527128,0.309721055,0.474119337,0.324112331,blood_high,False,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
